City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
0,Buluang,PH,13.3068,123.3425,82.22,82,100,12.8,2021-08-01 22:53:18,light rain
1,Tomatlan,MX,19.9333,-105.25,86.81,67,11,7.23,2021-08-01 22:53:19,few clouds
2,Bambous Virieux,MU,-20.3428,57.7575,66.45,94,75,8.05,2021-08-01 22:53:19,light intensity shower rain
3,Esperance,AU,-33.8667,121.9,49.84,67,65,21.34,2021-08-01 22:52:15,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,17.27,2021-08-01 22:53:20,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,69.1,57,42,20.92,2021-08-01 22:53:20,scattered clouds
6,Guerrero Negro,MX,27.9769,-114.0611,82.81,55,3,13.51,2021-08-01 22:53:21,clear sky
7,Matoury,GF,4.8483,-52.3317,83.01,78,0,2.3,2021-08-01 22:53:21,clear sky
8,Busselton,AU,-33.65,115.3333,54.45,56,94,9.01,2021-08-01 22:53:22,overcast clouds
9,Lata,PT,40.1629,-8.3327,67.05,99,94,0.4,2021-08-01 22:53:22,overcast clouds
10,Bethel,US,41.3712,-73.414,73.76,84,90,4.61,2021-08-01 22:52:35,overcast clouds
11,Avarua,CK,-21.2078,-159.775,75.25,94,90,13.8,2021-08-01 22:53:23,moderate rain
12,Bluff,NZ,-46.6,168.3333,44.8,82,98,6.35,2021-08-01 22:53:23,overcast clouds
13,Barajevo,RS,44.5789,20.4158,78.48,42,33,9.24,2021-08-01 22:53:24,scattered clouds
14,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.28,64,93,9.01,2021-08-01 22:53:25,overcast clouds
15,Kapaa,US,22.0752,-159.319,84.18,80,64,5.01,2021-08-01 22:53:25,light rain
16,Ushuaia,AR,-54.8,-68.3,46.06,46,20,17.27,2021-08-01 22:50:27,few clouds
17,Tari,NG,12.4086,4.4914,74.3,92,100,17.16,2021-08-01 22:53:26,heavy intensity rain
18,Hermanus,ZA,-34.4187,19.2345,56.89,80,95,0.54,2021-08-01 22:53:26,overcast clouds
19,Salalah,OM,17.0151,54.0924,75.22,93,100,6.35,2021-08-01 22:51:41,overcast clouds
20,Sulangan,PH,11.1373,123.7228,83.84,73,100,13.24,2021-08-01 22:53:27,overcast clouds
21,Kovur,IN,14.4833,79.9833,84.07,53,96,15.64,2021-08-01 22:53:27,overcast clouds
22,Lavrentiya,RU,65.5833,-171.0,41.67,84,100,15.82,2021-08-01 22:53:27,overcast clouds
23,Nikolskoye,RU,59.7035,30.7861,62.4,93,40,4.9,2021-08-01 22:53:28,scattered clouds
24,Micheweni,TZ,-4.9667,39.8333,73.8,83,51,11.77,2021-08-01 22:53:28,broken clouds
25,Tallahassee,US,30.4383,-84.2807,83.93,69,75,5.75,2021-08-01 22:50:52,broken clouds
26,Tasiilaq,GL,65.6145,-37.6368,41.83,77,50,4.88,2021-08-01 22:53:29,scattered clouds
27,Atuona,PF,-9.8,-139.0333,77.11,69,31,10.36,2021-08-01 22:53:29,scattered clouds
28,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,59.43,35,41,0.58,2021-08-01 22:53:30,scattered clouds
29,Dikson,RU,73.5069,80.5464,40.12,99,98,9.08,2021-08-01 22:53:30,overcast clouds
30,Labuhan,ID,-6.8844,112.2051,75.99,80,10,9.48,2021-08-01 22:53:31,clear sky
31,Cape Town,ZA,-33.9258,18.4232,57.11,84,20,1.99,2021-08-01 22:53:31,few clouds
32,Kaitangata,NZ,-46.2817,169.8464,47.73,90,46,4.07,2021-08-01 22:53:32,scattered clouds
33,New Norfolk,AU,-42.7826,147.0587,38.71,85,31,2.73,2021-08-01 22:53:32,scattered clouds
34,Jamestown,US,42.097,-79.2353,69.08,66,20,4.0,2021-08-01 22:53:32,few clouds
35,Carnarvon,AU,-24.8667,113.6333,48.27,68,0,10.36,2021-08-01 22:52:10,clear sky
36,Albany,US,42.6001,-73.9662,71.47,84,89,6.73,2021-08-01 22:51:11,moderate rain
37,Port Angeles,US,48.1181,-123.4307,79.57,73,1,17.27,2021-08-01 22:53:33,clear sky
38,Le Port,RE,-20.9373,55.2919,66.2,66,14,8.48,2021-08-01 22:53:34,few clouds
39,Bredasdorp,ZA,-34.5322,20.0403,56.52,77,86,3.44,2021-08-01 22:53:34,overcast clouds
40,Turki,RU,51.987,43.2731,69.1,72,21,4.25,2021-08-01 22:53:35,few clouds
41,Hualmay,PE,-11.0964,-77.6139,65.44,78,10,9.17,2021-08-01 22:53:35,clear sky
42,Mataura,NZ,-46.1927,168.8643,44.47,91,84,2.37,2021-08-01 22:53:36,broken clouds
43,San Pedro,PH,14.35,121.0167,82.15,83,90,5.75,2021-08-01 22:53:36,overcast clouds
44,Alyangula,AU,-13.8483,136.4192,69.67,100,90,0.0,2021-08-01 22:53:36,overcast clouds
45,Faanui,PF,-16.4833,-151.75,77.63,68,30,14.38,2021-08-01 22:52:00,scattered clouds
46,Ekibastuz,KZ,51.6667,75.3667,72.27,48,13,7.74,2021-08-01 22:53:37,few clouds
47,Sale,MA,34.0389,-6.8166,67.75,88,4,0.0,2021-08-01 22:53:37,clear sky
48,Bulalacao,PH,12.3254,121.3435,82.31,81,100,19.6,2021-08-01 22:53:38,overcast clouds
49,Vestmannaeyjar,IS,63.4427,-20.2734,53.94,91,92,5.93,2021-08-01 22:53:38,overcast clouds
50,Vityazevo,RU,44.9931,37.2719,72.01,78,0,2.24,2021-08-01 22:53:39,clear sky
51,Hobart,AU,-42.8794,147.3294,43.11,83,0,1.99,2021-08-01 22:48:49,clear sky
52,Vaini,TO,-21.2,-175.2,73.56,83,40,21.85,2021-08-01 22:53:40,light rain
53,Licheng,CN,23.2955,113.8284,80.53,89,99,1.05,2021-08-01 22:53:40,light rain
54,Ranong,TH,9.9658,98.6348,79.92,87,100,14.34,2021-08-01 22:53:40,overcast clouds
55,Isangel,VU,-19.55,169.2667,69.91,83,75,5.75,2021-08-01 22:53:41,broken clouds
56,Kalmunai,LK,7.4167,81.8167,80.28,75,100,4.88,2021-08-01 22:53:41,overcast clouds
57,Khatanga,RU,71.9667,102.5,63.79,68,38,9.4,2021-08-01 22:48:55,scattered clouds
58,Aizkraukle,LV,56.6048,25.2553,60.89,93,100,4.09,2021-08-01 22:53:42,light rain
59,Ilave,PE,-16.0833,-69.6667,38.77,86,48,7.36,2021-08-01 22:53:42,scattered clouds
60,Barrow,US,71.2906,-156.7887,51.82,77,90,17.27,2021-08-01 22:53:43,overcast clouds
61,Owando,CG,-0.4819,15.8999,74.88,70,56,3.56,2021-08-01 22:53:43,broken clouds
62,Saint-Philippe,RE,-21.3585,55.7679,65.79,76,49,7.78,2021-08-01 22:49:20,scattered clouds
63,Longyearbyen,SJ,78.2186,15.6401,42.35,85,99,6.73,2021-08-01 22:53:44,overcast clouds
64,Klaksvik,FO,62.2266,-6.589,49.12,81,65,6.73,2021-08-01 22:53:11,broken clouds
65,Lebu,CL,-37.6167,-73.65,50.11,77,39,16.55,2021-08-01 22:53:45,scattered clouds
66,Nuuk,GL,64.1835,-51.7216,50.9,70,100,6.02,2021-08-01 22:53:45,overcast clouds
67,Bowen,AU,-20.0167,148.2333,62.82,73,8,5.75,2021-08-01 22:53:46,clear sky
68,Bitung,ID,1.4451,125.1824,76.05,84,99,10.65,2021-08-01 22:53:46,overcast clouds
69,Buinsk,RU,54.95,48.2833,64.29,66,90,4.65,2021-08-01 22:53:47,overcast clouds
70,Torbay,CA,47.6666,-52.7314,66.97,73,40,14.97,2021-08-01 22:53:47,scattered clouds
71,Batemans Bay,AU,-35.7167,150.1833,54.1,87,11,3.83,2021-08-01 22:53:48,few clouds
72,Najran,SA,17.4924,44.1277,86.65,41,100,10.18,2021-08-01 22:52:07,overcast clouds
73,Bahile,PH,9.9995,118.7878,80.64,80,72,5.21,2021-08-01 22:53:48,broken clouds
74,Ambilobe,MG,-13.2,49.05,67.42,81,7,2.71,2021-08-01 22:53:49,clear sky
75,Port Hedland,AU,-20.3167,118.5667,60.85,41,0,10.36,2021-08-01 22:53:49,clear sky
76,Launceston,AU,-41.45,147.1667,41.14,93,90,6.91,2021-08-01 22:53:50,overcast clouds
77,San Patricio,US,28.017,-97.5169,95.72,55,99,16.67,2021-08-01 22:53:50,overcast clouds
78,Tuatapere,NZ,-46.1333,167.6833,44.82,91,100,2.59,2021-08-01 22:53:51,light rain
79,Sorong,ID,-0.8833,131.25,79.9,86,32,10.56,2021-08-01 22:53:51,scattered clouds
80,Vila Velha,BR,-20.3297,-40.2925,71.96,65,40,6.91,2021-08-01 22:53:52,scattered clouds
81,Pisco,PE,-13.7,-76.2167,66.25,72,0,11.5,2021-08-01 22:53:53,clear sky
82,Avera,US,33.194,-82.5271,96.67,58,56,13.51,2021-08-01 22:49:38,broken clouds
83,Orlik,RU,52.5178,99.825,49.14,97,100,4.76,2021-08-01 22:53:53,moderate rain
84,Tateyama,JP,34.9833,139.8667,86.09,74,2,5.41,2021-08-01 22:53:54,clear sky
