City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Egvekinot,RU,2021-07-31 17:21:22,66.3167,-179.1667,32.56,75,100,9.31
1,Albany,US,2021-07-31 17:19:23,42.6001,-73.9662,72.36,47,18,1.01
2,Salalah,OM,2021-07-31 17:21:23,17.0151,54.0924,77.09,94,90,9.22
3,Busselton,AU,2021-07-31 17:21:24,-33.65,115.3333,51.08,77,90,29.68
4,Cape Town,ZA,2021-07-31 17:17:18,-33.9258,18.4232,61.27,79,0,5.75
5,Mataura,NZ,2021-07-31 17:21:25,-46.1927,168.8643,47.48,99,100,1.14
6,Bethel,US,2021-07-31 17:21:25,41.3712,-73.414,74.89,55,1,6.91
7,Isangel,VU,2021-07-31 17:21:25,-19.55,169.2667,68.47,58,4,14.83
8,Hofn,IS,2021-07-31 17:21:26,64.2539,-15.2082,48.56,87,45,10.51
9,Gornopravdinsk,RU,2021-07-31 17:21:26,60.05,69.9,55.27,75,18,4.05
10,Rikitea,PF,2021-07-31 17:21:27,-23.1203,-134.9692,70.63,70,41,10.13
11,Ushuaia,AR,2021-07-31 17:17:17,-54.8,-68.3,46.06,49,75,16.11
12,Punta Arenas,CL,2021-07-31 17:18:43,-53.15,-70.9167,42.91,56,0,13.8
13,Faanui,PF,2021-07-31 17:21:27,-16.4833,-151.75,77.14,67,66,18.57
14,East London,ZA,2021-07-31 17:20:38,-33.0153,27.9116,72.54,28,0,8.05
15,Barrow,US,2021-07-31 17:21:28,71.2906,-156.7887,46.42,96,90,12.66
16,Lompoc,US,2021-07-31 17:21:29,34.6391,-120.4579,71.92,82,90,5.75
17,Samana,DO,2021-07-31 17:21:29,19.2056,-69.3369,88.02,74,40,11.5
18,Vardo,NO,2021-07-31 17:21:30,70.3705,31.1107,48.29,91,100,16.49
19,Hithadhoo,MV,2021-07-31 17:21:30,-0.6,73.0833,81.68,73,92,5.21
20,Vaini,TO,2021-07-31 17:21:30,-21.2,-175.2,73.56,88,90,16.11
21,Tautira,PF,2021-07-31 17:21:31,-17.7333,-149.15,69.82,59,84,12.68
22,Mar Del Plata,AR,2021-07-31 17:19:10,-38.0023,-57.5575,57.22,41,0,1.99
23,Edd,ER,2021-07-31 17:21:31,13.9297,41.6925,89.55,70,80,7.4
24,Bredasdorp,ZA,2021-07-31 17:21:32,-34.5322,20.0403,52.92,87,94,3.44
25,Namibe,AO,2021-07-31 17:21:32,-15.1961,12.1522,69.6,89,2,5.82
26,Tura,IN,2021-07-31 17:21:33,25.5198,90.2201,74.21,97,99,5.03
27,Colorado,BR,2021-07-31 17:21:33,-22.8375,-51.9731,68.59,29,100,12.95
28,Saldanha,ZA,2021-07-31 17:21:34,-33.0117,17.9442,60.85,64,27,1.14
29,Hilo,US,2021-07-31 17:17:30,19.7297,-155.09,75.79,81,90,4.61
30,Aklavik,CA,2021-07-31 17:21:34,68.2191,-135.0107,72.32,68,75,4.61
31,Kapaa,US,2021-07-31 17:21:35,22.0752,-159.319,80.92,72,75,1.99
32,Cururupu,BR,2021-07-31 17:21:35,-1.8283,-44.8683,85.17,63,35,6.33
33,Agadez,NE,2021-07-31 17:21:36,19.75,10.25,102.67,9,2,8.28
34,Saint-Pierre,RE,2021-07-31 17:21:36,-21.3393,55.4781,71.28,70,40,27.63
35,Mildura,AU,2021-07-31 17:21:37,-34.2,142.15,49.96,100,90,4.61
36,Halifax,CA,2021-07-31 17:21:37,44.6453,-63.5724,72.09,62,18,4.0
37,Ostrovnoy,RU,2021-07-31 17:21:38,68.0531,39.5131,47.68,97,100,9.04
38,Airai,TL,2021-07-31 17:21:38,-8.9266,125.4092,57.49,92,27,3.02
39,Muros,ES,2021-07-31 17:21:39,42.7762,-9.0603,73.69,57,56,14.79
40,Clyde River,CA,2021-07-31 17:21:39,70.4692,-68.5914,46.63,81,75,5.75
41,Fairbanks,US,2021-07-31 17:21:39,64.8378,-147.7164,62.56,77,40,6.91
42,Nouadhibou,MR,2021-07-31 17:21:40,20.931,-17.0347,73.38,78,8,23.02
43,Port Elizabeth,ZA,2021-07-31 17:20:52,-33.918,25.5701,59.29,58,0,3.44
44,Kununurra,AU,2021-07-31 17:21:40,-15.7667,128.7333,67.98,83,75,0.0
45,Padang,ID,2021-07-31 17:21:42,-0.9492,100.3543,71.65,89,99,3.98
46,Hermanus,ZA,2021-07-31 17:21:42,-34.4187,19.2345,58.89,82,100,1.72
47,Havre-Saint-Pierre,CA,2021-07-31 17:21:43,50.2334,-63.5986,57.56,94,90,16.11
48,Brezno,SK,2021-07-31 17:21:43,48.8043,19.6363,73.76,72,57,3.22
49,Atuona,PF,2021-07-31 17:21:43,-9.8,-139.0333,76.51,73,37,12.5
50,Lovozero,RU,2021-07-31 17:21:44,68.005,35.0117,56.62,69,79,8.32
51,Upernavik,GL,2021-07-31 17:21:45,72.7868,-56.1549,41.74,80,97,8.34
52,Dehloran,IR,2021-07-31 17:21:45,32.6941,47.2679,102.2,8,0,4.72
53,Lucapa,AO,2021-07-31 17:21:46,-8.4192,20.7447,77.38,22,35,4.41
54,Kruisfontein,ZA,2021-07-31 17:21:46,-34.0033,24.7314,56.88,59,84,0.98
55,Okahandja,NA,2021-07-31 17:21:47,-21.9833,16.9167,66.51,19,0,11.79
56,Bluff,NZ,2021-07-31 17:21:47,-46.6,168.3333,47.8,96,100,1.88
57,Dudinka,RU,2021-07-31 17:21:47,69.4058,86.1778,52.75,88,80,15.26
58,Port Lincoln,AU,2021-07-31 17:21:48,-34.7333,135.8667,50.05,73,80,7.65
59,Georgetown,MY,2021-07-31 17:21:48,5.4112,100.3354,82.33,91,40,1.01
60,Kampene,CD,2021-07-31 17:21:49,-3.6,26.6667,79.65,31,69,2.82
61,Samarai,PG,2021-07-31 17:21:49,-10.6167,150.6667,78.28,67,100,15.26
62,Viedma,AR,2021-07-31 17:21:50,-40.8135,-62.9967,54.72,32,0,8.99
63,Norman Wells,CA,2021-07-31 17:21:50,65.282,-126.8329,71.64,56,75,6.91
64,Tuktoyaktuk,CA,2021-07-31 17:21:51,69.4541,-133.0374,62.6,82,75,17.27
65,Hobart,AU,2021-07-31 17:19:25,-42.8794,147.3294,49.86,70,100,1.99
66,Naryan-Mar,RU,2021-07-31 17:21:51,67.6713,53.087,57.11,73,100,10.92
67,Homer,US,2021-07-31 17:21:52,59.6425,-151.5483,58.77,84,1,0.0
68,Neuquen,AR,2021-07-31 17:18:09,-38.9516,-68.0591,53.49,47,75,4.61
69,Sayyan,YE,2021-07-31 17:21:53,15.1718,44.3244,61.11,78,86,5.03
70,Atasu,KZ,2021-07-31 17:21:53,48.6814,71.6433,75.38,27,50,5.21
71,Yellowknife,CA,2021-07-31 17:21:02,62.456,-114.3525,75.29,64,20,11.5
72,Makakilo City,US,2021-07-31 17:21:54,21.3469,-158.0858,79.12,66,1,6.91
73,Whitefish,US,2021-07-31 17:21:54,48.4111,-114.3376,89.38,36,1,10.36
74,Half Moon Bay,US,2021-07-31 17:21:55,37.4636,-122.4286,77.88,75,40,1.01
75,Arraial Do Cabo,BR,2021-07-31 17:21:56,-22.9661,-42.0278,69.76,94,90,8.05
76,Sao Joao Da Barra,BR,2021-07-31 17:21:56,-21.6403,-41.0511,68.09,66,87,11.56
77,Yakeshi,CN,2021-07-31 17:21:57,49.2833,120.7333,55.22,91,100,10.13
78,Yar-Sale,RU,2021-07-31 17:21:57,66.8333,70.8333,48.92,83,48,4.97
79,Kaitangata,NZ,2021-07-31 17:21:57,-46.2817,169.8464,47.28,96,100,2.15
80,Jamestown,US,2021-07-31 17:19:38,42.097,-79.2353,71.02,58,40,3.0
81,Thompson,CA,2021-07-31 17:21:58,55.7435,-97.8558,71.76,43,40,9.22
82,Sorland,NO,2021-07-31 17:21:58,67.667,12.6934,49.68,74,90,11.7
83,Santa Fe,AR,2021-07-31 17:20:11,-31.6333,-60.7,68.76,24,0,3.0
84,Nalut,LY,2021-07-31 17:21:59,30.3333,10.85,101.93,8,0,12.19
85,Saint-Augustin,CA,2021-07-31 17:21:59,51.226,-58.6502,56.57,92,100,11.14
86,Alcantara,BR,2021-07-31 17:22:00,-2.4089,-44.4147,88.0,55,26,4.94
87,Labuhan,ID,2021-07-31 17:22:01,-6.8844,112.2051,76.73,80,58,6.11
88,Imbituba,BR,2021-07-31 17:18:22,-28.24,-48.6703,64.29,66,36,11.1
89,Luderitz,NA,2021-07-31 17:22:02,-26.6481,15.1594,70.81,32,0,9.1
